Sample ID,Total Biomass,Fungi Richness,Bact Richness,Bact Diversity,DOC,DOC_cont
90_A,576.266666666667,14,176,4.017380428,Low,5.04
90_B,512,14,143,3.374316976,Low,5.625
90_C,415.677419354839,11,120,3.255653493,Low,6.21
91_A,426.322580645161,17,128,3.011733775,Low,5.875
91_B,604.48275862069,28,138,3.691055919,Low,5.5
91_C,1267.10344827586,43,99,3.489831362,Low,6.21
92_A,755.733333333333,33,166,4.174803626,Low,4.25
92_B,633.483870967742,29,170,4.377532882,Low,4.915
96_A,580.733333333333,8,83,2.78992604,High,9.54
96_B,296.827586206897,7,88,3.090911137,High,9.25
97_A,713.533333333333,17,156,3.862819721,Low,5.5
97_B,834.48275862069,23,142,3.617672945,Low,5.335
97_C,381.375,19,158,3.755165199,Low,6.04
98_B,520.206896551724,13,65,3.098561566,High,14.375
99_A,335.8,25,92,3.004293477,High,10
99_B,640.344827586207,22,117,3.30840822,High,6.125
99_C,460.709677419355,32,118,3.407077834,High,8.835
